abduction,621,2.76,1
abortion,622,3.5,6
absurd,623,4.26,17
abundance,624,6.59,13
abuse,1,1.8,18
acceptance,625,7.98,49
accident,2,2.05,33
ace,626,6.88,15
ache,627,2.46,4
achievement,3,7.89,65
activate,4,5.46,2
addict,581,2.48,1
addicted,628,2.51,3
admired,5,7.74,17
adorable,6,7.81,3
adult,546,6.49,25
advantage,629,6.95,73
adventure,630,7.6,14
affection,7,8.39,18
afraid,8,2,57
aggressive,9,5.1,17
agility,22,6.46,3
agony,10,2.43,9
agreement,631,7.08,106
air,632,6.34,257
alcoholic,582,2.84,3
alert,11,6.2,33
alien,633,5.6,16
alimony,634,3.95,2
alive,635,7.25,57
allergy,636,3.07,1
alley,637,4.48,8
alone,12,2.41,195
aloof,13,4.9,5
ambition,14,7.04,19
ambulance,15,2.47,6
angel,16,7.53,18
anger,17,2.34,48
angry,18,2.85,45
anguished,19,2.12,2
ankle,638,5.27,8
annoy,20,2.74,2
answer,639,6.63,152
anxious,21,4.81,29
applause,640,7.5,14
appliance,641,5.1,5
arm,642,5.34,94
army,23,4.72,132
aroused,24,7.97,20
arrogant,25,3.69,2
art,643,6.68,208
assassin,26,3.09,6
assault,27,2.03,15
astonished,28,6.56,6
astronaut,501,6.66,2
athletics,644,6.61,9
autumn,29,6.3,22
avalanche,645,3.29,1
avenue,646,5.5,46
awed,30,6.7,5
baby,31,8.22,62
bake,647,6.17,12
bandage,648,4.54,4
bankrupt,32,2,5
banner,649,5.4,8
bar,650,6.42,82
barrel,651,5.05,24
basket,547,5.45,17
bastard,33,3.36,12
bath,502,7.33,26
bathroom,548,5.55,18
bathtub,652,6.69,4
beach,34,8.03,61
beast,653,4.23,7
beautiful,654,7.6,127
beauty,35,7.82,71
bed,549,7.51,127
bees,583,3.2,15
beggar,36,3.22,2
bench,655,4.61,35
bereavement,656,4.57,4
betray,37,1.68,4
beverage,657,6.83,5
bird,38,7.27,31
birthday,39,7.84,18
black,543,5.39,203
blackmail,40,2.95,2
bland,658,4.1,3
blase,41,4.89,7
blasphemy,659,3.75,4
bless,42,7.19,9
blind,43,3.05,47
bliss,660,6.95,4
blister,661,2.88,3
blond,662,6.43,11
bloody,584,2.9,8
blossom,44,7.26,7
blubber,663,3.52,1
blue,544,6.76,143
board,664,4.82,239
body,665,5.55,276
bold,45,6.8,21
bomb,46,2.1,36
book,47,5.72,193
bored,48,2.95,14
bottle,666,6.15,76
bouquet,667,7.02,4
bowl,49,5.33,23
boxer,585,5.51,1
boy,50,6.32,242
brave,668,7.15,24
breast,51,6.5,11
breeze,669,6.85,14
bride,670,7.34,33
bright,671,7.5,87
broken,672,3.05,63
brother,52,7.11,73
brutal,53,2.8,7
building,550,5.29,160
bullet,673,3.29,28
bunny,54,7.24,1
burdened,55,2.5,4
burial,56,2.05,11
burn,586,2.73,15
bus,541,4.51,34
busybody,674,5.17,2
butter,57,5.33,27
butterfly,58,7.17,2
cabinet,675,5.05,17
cake,59,7.26,9
cancer,60,1.5,25
candy,61,6.54,16
cane,677,4,12
cannon,678,4.9,7
capable,62,7.16,66
car,551,7.73,274
carcass,679,3.34,7
carefree,63,7.54,9
caress,64,7.84,1
cash,503,8.37,36
casino,680,6.81,2
cat,504,5.72,27
cell,587,3.82,65
cellar,681,4.32,26
