Description,Valence_Mean,Valence_ SD,Arousal_ Mean,Arousal_ SD,Word Frequency
abduction,2.76,2.06,5.53,2.43,1
abortion,3.5,2.3,5.39,2.8,6
absurd,4.26,1.82,4.36,2.2,17
abundance,6.59,2.01,5.51,2.63,13
abuse,1.8,1.23,6.83,2.7,18
acceptance,7.98,1.42,5.4,2.7,49
accident,2.05,1.19,6.26,2.87,33
ace,6.88,1.93,5.5,2.66,15
ache,2.46,1.52,5,2.45,4
achievement,7.89,1.38,5.53,2.81,65
activate,5.46,0.98,4.86,2.56,2
addict,2.48,2.08,5.66,2.26,1
addicted,2.51,1.42,4.81,2.46,3
admired,7.74,1.84,6.11,2.36,17
adorable,7.81,1.24,5.12,2.71,3
adult,6.49,1.5,4.76,1.95,25
advantage,6.95,1.85,4.76,2.18,73
adventure,7.6,1.5,6.98,2.15,14
affection,8.39,0.86,6.21,2.75,18
afraid,2,1.28,6.67,2.54,57
aggressive,5.1,1.68,5.83,2.33,17
agility,6.46,1.57,4.85,1.8,3
agony,2.43,2.17,6.06,2.67,9
agreement,7.08,1.59,5.02,2.24,106
air,6.34,1.56,4.12,2.3,257
alcoholic,2.84,2.34,5.69,2.36,3
alert,6.2,1.76,6.85,2.53,33
alien,5.6,1.82,5.45,2.15,16
alimony,3.95,2,4.3,2.29,2
alive,7.25,2.22,5.5,2.74,57
allergy,3.07,1.64,4.64,2.34,1
alley,4.48,1.97,4.91,2.42,8
alone,2.41,1.77,4.83,2.66,195
aloof,4.9,1.92,4.28,2.1,5
ambition,7.04,1.98,5.61,2.92,19
ambulance,2.47,1.5,7.33,1.96,6
angel,7.53,1.58,4.83,2.63,18
anger,2.34,1.32,7.63,1.91,48
angry,2.85,1.7,7.17,2.07,45
anguished,2.12,1.56,5.33,2.69,2
ankle,5.27,1.54,4.16,2.03,8
annoy,2.74,1.81,6.49,2.17,2
answer,6.63,1.68,5.41,2.43,152
anxious,4.81,1.98,6.92,1.81,29
applause,7.5,1.5,5.8,2.79,14
appliance,5.1,1.21,4.05,2.06,5
arm,5.34,1.82,3.59,2.4,94
army,4.72,1.75,5.03,2.03,132
aroused,7.97,1,6.63,2.7,20
arrogant,3.69,2.4,5.65,2.23,2
art,6.68,2.1,4.86,2.88,208
assassin,3.09,2.09,6.28,2.53,6
assault,2.03,1.55,7.51,2.28,15
astonished,6.56,1.61,6.58,2.22,6
astronaut,6.66,1.6,5.28,2.11,2
athletics,6.61,2.08,6.1,2.29,9
autumn,6.3,2.14,4.51,2.5,22
avalanche,3.29,1.95,5.54,2.37,1
avenue,5.5,1.37,4.12,2.01,46
awed,6.7,1.38,5.74,2.31,5
baby,8.22,1.2,5.53,2.8,62
bake,6.17,1.71,5.1,2.3,12
bandage,4.54,1.75,3.9,2.07,4
bankrupt,2,1.31,6.21,2.79,5
banner,5.4,0.83,3.83,1.95,8
bar,6.42,2.05,5,2.83,82
barrel,5.05,1.46,3.36,2.28,24
basket,5.45,1.15,3.63,2.02,17
bastard,3.36,2.16,6.07,2.15,12
bath,7.33,1.45,4.16,2.31,26
bathroom,5.55,1.36,3.88,1.72,18
bathtub,6.69,1.57,4.36,2.59,4
beach,8.03,1.59,5.53,3.07,61
beast,4.23,2.41,5.57,2.61,7
beautiful,7.6,1.64,6.17,2.34,127
beauty,7.82,1.16,4.95,2.57,71
bed,7.51,1.38,3.61,2.56,127
bees,3.2,2.07,6.51,2.14,15
beggar,3.22,2.02,4.91,2.45,2
bench,4.61,1.4,3.59,2.07,35
bereavement,4.57,1.7,4.2,2.15,4
betray,1.68,1.02,7.24,2.06,4
beverage,6.83,1.48,5.21,2.46,5
bird,7.27,1.36,3.17,2.23,31
birthday,7.84,1.92,6.68,2.11,18
black,5.39,1.8,4.61,2.24,203
blackmail,2.95,1.95,6.03,2.7,2
bland,4.1,1.08,3.29,1.89,3
blase,4.89,1.16,3.94,1.76,7
blasphemy,3.75,2.26,4.93,2.34,4
bless,7.19,1.69,4.05,2.59,9
blind,3.05,1.99,4.39,2.36,47
bliss,6.95,2.24,4.41,2.95,4
blister,2.88,1.75,4.1,2.34,3
blond,6.43,2.04,5.07,2.7,11
bloody,2.9,1.98,6.41,2,8
blossom,7.26,1.18,5.03,2.65,7
blubber,3.52,1.99,4.57,2.38,1
blue,6.76,1.78,4.31,2.2,143
board,4.82,1.23,3.36,2.12,239
body,5.55,2.37,5.52,2.63,276
bold,6.8,1.61,5.6,2.21,21
bomb,2.1,1.19,7.15,2.4,36
book,5.72,1.54,4.17,2.49,193
bored,2.95,1.35,2.83,2.31,14
bottle,6.15,1.49,4.79,2.44,76
bouquet,7.02,1.84,5.46,2.47,4
bowl,5.33,1.33,3.47,2.12,23
boxer,5.51,1.8,5.12,2.26,1
boy,6.32,1.6,4.58,2.37,242
brave,7.15,1.64,6.15,2.45,24
breast,6.5,1.78,5.37,2.39,11
breeze,6.85,1.71,4.37,2.32,14
bride,7.34,1.71,5.55,2.74,33
bright,7.5,1.55,5.4,2.33,87
broken,3.05,1.92,5.43,2.42,63
brother,7.11,2.17,4.71,2.68,73
brutal,2.8,1.9,6.6,2.36,7
building,5.29,1.15,3.92,1.94,160
bullet,3.29,2.06,5.33,2.48,28
bunny,7.24,1.32,4.06,2.61,1
burdened,2.5,1.32,5.63,2.07,4
burial,2.05,1.41,5.08,2.4,11
burn,2.73,1.72,6.22,1.91,15
bus,4.51,1.57,3.55,1.8,34
busybody,5.17,2.02,4.84,2.41,.
butter,5.33,1.2,3.17,1.84,27
butterfly,7.17,1.2,3.47,2.39,2
cabinet,5.05,0.31,3.43,1.85,17
cake,7.26,1.27,5,2.37,9
cancer,1.5,0.85,6.42,2.83,25
candy,6.54,2.09,4.58,2.4,16
cane,4,1.8,4.2,1.93,12
cannon,4.9,2.2,4.71,2.84,7
capable,7.16,1.39,5.08,2.07,66
car,7.73,1.63,6.24,2.04,274
carcass,3.34,1.92,4.83,2.07,7
carefree,7.54,1.38,4.17,2.84,9
caress,7.84,1.16,5.14,3,1
cash,8.37,1,7.37,2.21,36
casino,6.81,1.66,6.51,2.12,2
cat,5.72,2.43,4.38,2.24,.
cell,3.82,1.7,4.08,2.19,65
cellar,4.32,1.68,4.39,2.33,26
cemetery,2.63,1.4,4.82,2.66,15
chair,5.08,0.98,3.15,1.77,66
champ,7.18,1.97,6,2.43,1
champion,8.44,0.9,5.85,3.15,23
chance,6.02,1.77,5.38,2.58,131
chaos,4.17,2.36,6.67,2.06,17
charm,6.77,1.58,5.16,2.25,26
cheer,8.1,1.17,6.12,2.45,8
child,7.08,1.98,5.55,2.29,213
chin,5.29,1.27,3.31,1.98,27
chocolate,6.88,1.89,5.29,2.55,9
christmas,7.8,1.55,6.27,2.56,27
church,6.28,2.31,4.34,2.45,348
circle,5.67,1.26,3.86,2.13,60
circus,7.3,1.84,5.97,2.59,7
city,6.03,1.37,5.24,2.53,393
cliff,4.67,2.08,6.25,2.15,11
clock,5.14,1.54,4.02,2.54,20
clothing,6.54,1.85,4.78,2.88,20
clouds,6.18,2.18,3.3,2.08,38
clumsy,4,2.22,5.18,2.4,6
coarse,4.55,1.42,4.21,1.84,10
coast,5.98,1.86,4.59,2.31,61
cockroach,2.81,2.11,6.11,2.78,2
coffin,2.56,1.96,5.03,2.79,7
coin,6.02,1.96,4.29,2.48,10
cold,4.02,1.99,5.19,2.23,171
